state_clean,county_clean,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days Ozone,Days PM2.5,Days PM10,PM25_pct,Ozone_pct,NO2_pct,PM10_pct,pm25_share,ozone_share,StateAbbr,asthma_pct,heart_disease_pct,copd_pct,diabetes_pct,stroke_pct,poor_mental_health_pct,poor_physical_health_pct,smoking_pct,fips,state_label,county_label,poverty_rate,median_income,income_k,poverty_pct,cluster,cluster_label
california,sonoma,365.2,292.4,67.8,1.2,3.4,0.4,0.0,158.8,56.6,37.8,188.4,171.6,4.4,46.98495396362003,51.5915861965716,0.219028370387005,1.204431469421364,0.4698795180722891,0.515881708652793,CA,0.0944999999999999,0.0543749999999999,0.056,0.09125,0.028,0.132625,0.1095,0.1157499999999999,06097,California,Sonoma,0.091,92999.0,92.999,9.1,0.0,Low-burden
california,stanislaus,365.2,123.8,198.0,34.4,8.2,0.8,0.0,198.8,103.8,58.6,174.6,182.0,8.0,49.83576615016094,47.81031514334905,0.1642338498390598,2.189684856650947,0.4983570646221248,0.4780941949616648,CA,0.099,0.059375,0.0635,0.11375,0.03125,0.1528749999999999,0.1325,0.1463749999999999,06099,California,Stanislaus,0.141,73151.0,73.151,14.099999999999998,0.0,Low-burden
california,sutter,365.0,137.2,208.0,13.0,4.8,1.6,0.4,238.2,87.0,54.8,134.0,228.0,3.0,62.472860622422715,36.705669882180096,0.0,0.8214694953971845,0.6246575342465753,0.3671232876712328,CA,0.0963749999999999,0.061,0.0651249999999999,0.114375,0.032125,0.150125,0.130125,0.1468749999999999,06101,California,Sutter,0.155,63246.0,63.246,15.5,2.0,High-burden
california,tehama,365.2,226.2,117.6,11.0,9.8,0.6,0.0,176.4,86.2,45.2,254.0,111.2,0.0,30.442997230331617,69.55700276966839,0.0,0.0,0.3044906900328587,0.6955093099671413,CA,0.10475,0.073,0.083125,0.118125,0.037625,0.162625,0.147125,0.16475,06103,California,Tehama,0.156,53654.0,53.654,15.6,2.0,High-burden
california,trinity,286.8,166.8,98.8,7.2,7.6,3.0,3.4,518.8,95.6,41.6,0.0,286.8,0.0,100.0,0.0,0.0,0.0,1.0,0.0,CA,0.10525,0.0836249999999999,0.0923749999999999,0.124,0.04175,0.160375,0.151375,0.173,06105,California,Trinity,0.191,45508.0,45.508,19.1,2.0,High-burden
california,tulare,365.2,63.2,182.4,93.0,25.4,1.0,0.2,364.0,141.6,77.6,193.0,162.4,9.8,44.464705442024105,52.85215959278389,0.0,2.6831349651920053,0.4446878422782037,0.5284775465498357,CA,0.10175,0.06475,0.0688749999999999,0.13325,0.0345,0.161625,0.1515,0.15625,06107,California,Tulare,0.187,57398.0,57.398,18.7,2.0,High-burden
california,tuolumne,356.2,266.0,79.2,10.8,0.2,0.0,0.0,136.8,73.0,42.4,356.2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,CA,0.0969999999999999,0.0669999999999999,0.0704999999999999,0.101625,0.033625,0.144125,0.1245,0.1392499999999999,06109,California,Tuolumne,0.132,61396.0,61.396,13.200000000000001,2.0,High-burden
california,ventura,365.2,145.6,200.6,15.2,2.4,1.0,0.4,309.8,87.0,53.6,194.2,161.2,9.2,44.14656785687551,53.16969833071338,0.1643835616438356,2.5193502507672725,0.4414019715224534,0.531763417305586,CA,0.0894999999999999,0.052625,0.0512499999999999,0.0981249999999999,0.027,0.12975,0.11025,0.111,06111,California,Ventura,0.08900000000000001,95819.0,95.819,8.9,0.0,Low-burden
california,yolo,365.2,230.6,123.4,6.0,4.6,0.6,0.0,183.6,71.8,44.0,210.6,153.6,0.6,42.05269855528108,57.673478553783966,0.1094393292911146,0.1643835616438356,0.420591456736035,0.5766703176341731,CA,0.0939999999999999,0.0507499999999999,0.051875,0.0959999999999999,0.0265,0.14225,0.109625,0.119,06113,California,Yolo,0.14800000000000002,76247.0,76.247,14.800000000000002,0.0,Low-burden
colorado,adams,365.2,172.2,184.8,7.8,0.4,0.0,0.0,139.2,76.2,50.8,144.2,139.0,42.2,38.06766973575866,39.482446290890024,10.895126880754546,11.554757092596752,0.3806133625410734,0.3948521358159912,CO,0.0978749999999999,0.04825,0.051875,0.0874999999999999,0.025875,0.13725,0.10925,0.15975,08001,Colorado,Adams,0.1,80831.0,80.831,10.0,0.0,Low-burden
